ID,Station Name,City,Access Days Time,Facility Type,Latitude,Longitude,EV Network,Owner Type Code,County
60229,Birkenstock,Ridgefield,Store business hours; free with purchase,PARKING_LOT,45.748069,-122.662816,Non-Networked,P,Clark
60241,PARKMETRO1 PARK METRO #1,Bellevue,24 hours daily,,47.620793,-122.192469,ChargePoint Network,,King
60331,VALLEY MED CTR MAIN LOT #8,Renton,24 hours daily,,47.443123,-122.212538,ChargePoint Network,,King
60718,Haselwood Chevrolet Buick GMC,Bremerton,Dealership business hours; for Chevrolet vehicles only,CAR_DEALER,47.557801,-122.675335,Non-Networked,P,Kitsap
60814,Lakeside 24 Hour Fuel,Cougar,6am-7pm daily (summer); 7am-6pm daily (winter),GAS_STATION,46.051228,-122.301754,Non-Networked,P,Cowlitz
61877,Kitsap Transit Harborside Garage,Bremerton,,,47.56358,-122.62531,OpConnect,,Kitsap
62286,Semiahmoo Resort,Blaine,24 hours daily; for guest use only,HOTEL,48.989751,-122.773271,Non-Networked,P,Whatcom
62692,Best Western Plus - Heritage Inn,Bellingham,24 hours daily; for guest use only,HOTEL,48.783478,-122.484131,Non-Networked,P,Whatcom
62728,UDR TEN20 #1,Bellevue,24 hours daily,,47.61984,-122.19603,ChargePoint Network,,King
62973,City of Chelan,Chelan,24 hours daily,MUNI_GOV,47.840838,-120.018402,Non-Networked,LG,Chelan
63088,LCC LCC H&S #1,Longview,24 hours daily,,46.141922,-122.940192,ChargePoint Network,,Cowlitz
63110,UWMC UWMC #1,Bellevue,24 hours daily,,47.638269,-122.191294,ChargePoint Network,,King
63313,UWMC 4245 UWMC 4245 #1,Seattle,24 hours daily,,47.658961,-122.3185,ChargePoint Network,,King
63338,UWMC 4225 UWMC 4225 #1,Seattle,24 hours daily,,47.658409,-122.318392,ChargePoint Network,,King
63444,Town Nissan,East Wenatchee,Dealership business hours,CAR_DEALER,47.40087,-120.27887,Non-Networked,P,Douglas
63780,MAIN HOSPITAL SILVER PARKING,Kirkland,24 hours daily,,47.716056,-122.179455,ChargePoint Network,,King
63781,MAIN HOSPITAL DEYOUNG1,Kirkland,24 hours daily,,47.714435,-122.179399,ChargePoint Network,,King
63782,MAIN HOSPITAL BLUE PARKING,Kirkland,24 hours daily,,47.714793,-122.176869,ChargePoint Network,,King
64135,Leskovar Mitsubishi,Kennewick,Dealership business hours; for customer use only,CAR_DEALER,46.213233,-119.162367,Non-Networked,P,Benton
64475,HARBOUR POINT HBP STATION A,Mukilteo,24 hours daily,,47.890423,-122.286971,ChargePoint Network,,Snohomish
64500,Mellisoni Vineyard,Chelan,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,BREWERY_DISTILLERY_WINERY,47.83522282290976,-120.068983390213,Non-Networked,P,Chelan
65414,Snoqualmie Casino,Issaquah,24 hours daily; guest use only,OTHER_ENTERTAINMENT,47.519113,-121.841787,Non-Networked,P,King
65859,WCEH Wenatchee,Wenatchee,,,47.427713,-120.312139,EVCS,,Chelan
65861,WCEH Centralia,Centralia,,,46.7252937,-122.9742834,EVCS,,Lewis
65862,WCEH Bellingham,Bellingham,,,48.731184,-122.4712335,EVCS,,Whatcom
65864,WCEH Castle Rock,Castle Rock,,,46.2757149,-122.910486,EVCS,,Cowlitz
65865,WCEH Burlington,Burlington,,,48.4554794,-122.3407875,EVCS,,Skagit
65866,WCEH Ridgefield,Ridgefield,,,45.8176127,-122.683566,EVCS,,Clark
65869,WCEH Skykomish,Skykomish,,,47.7111533,-121.360832,EVCS,,King
66221,525 NORTHGATE RETAIL #1,Seattle,24 hours daily,,47.707951,-122.321496,ChargePoint Network,,King
66418,Power Trip Energy Corp,Port Townsend,24 hours daily,OFFICE_BLDG,48.093634,-122.813252,Non-Networked,P,Jefferson
66421,GreenPod Development,Port Townsend,24 hours daily,OFFICE_BLDG,48.103061,-122.794143,Non-Networked,P,Jefferson
66422,Windermere Real Estate,Port Townsend,8am-5pm daily,OFFICE_BLDG,48.113018,-122.760544,Non-Networked,P,Jefferson
155375,STCU Airway Heights,Airway Heights,24 hours daily,,47.642531,-117.561399,EV Connect,,Spokane
66645,MAIN HOSPITAL SILVER #2,Kirkland,24 hours daily,,47.716066,-122.179613,ChargePoint Network,,King
66696,WINSLOW WAY WINSLOW #1,Bainbridge Island,24 hours daily,,47.624921,-122.51934,ChargePoint Network,,Kitsap
67125,The Co-op Farm and Garden,Sequim,"8am-6pm M-F, 9am-5pm Sat, 10am-4pm Sun",COOP,48.079897,-123.098996,Non-Networked,P,Clallam
67692,VISITOR GARAGE PEDESTAL UNIT,Tacoma,24 hours daily,,47.252117,-122.437452,ChargePoint Network,,Pierce
68846,Banks Lake Brew and Bistro,Coulee City,24 hours daily,RESTAURANT,47.616684,-119.287843,Non-Networked,P,Grant
68940,VM CHARGERS VIRGINIA MASON2,Seattle,24 hours daily,,47.609528,-122.326393,ChargePoint Network,,King
69853,INSIGNIA 953 EV216,Seattle,24 hours daily,,47.616552,-122.342727,ChargePoint Network,,King
70092,UWB CASCADIA CC TRULY HOUSE #1,Bothell,24 hours daily,,47.759501,-122.193075,ChargePoint Network,,King
70095,UWB CASCADIA CC SOUTH L 3 N,Bothell,24 hours daily,,47.757842,-122.190719,ChargePoint Network,,King
71773,Best Western Plus - Evergreen Inn and Suites,Federal Way,24 hours daily; for guest use only; see front desk for access,HOTEL,47.313989,-122.300707,Non-Networked,P,King
71774,Best Western Plus - Tacoma Dome Hotel,Tacoma,24 hours daily; for guest use only; see front desk for access,HOTEL,47.238785,-122.426722,Non-Networked,P,Pierce
71918,ESSEX SAMMAMISH VIEW,Bellevue,24 hours daily,,47.577051,-122.125164,ChargePoint Network,,King
72656,MADISON GARAGE MADISON GARAGE2,Seattle,24 hours daily,,47.610087,-122.322114,ChargePoint Network,,King
72739,Expo Apartments,Seattle,24 hours daily; apartment residents only,MULTI_UNIT_DWELLING,47.6232795,-122.354922,Non-Networked,P,King
313080,Goodwill Industries Outlet Store,Spokane,24 hours daily,PARKING_LOT,47.6405748972829,-117.550308583482,Non-Networked,P,Spokane
73412,WCEH Tumwater,Tumwater,,,46.993561,-122.907761,EVCS,,Thurston
73413,WCEH Leavenworth,Leavenworth,,,47.5955952,-120.6642262,EVCS,,Chelan
73415,WCEH Sultan,Sultan,,,47.8621458,-121.8166013,EVCS,,Snohomish
73431,WCEH Cle Elum,Cle Elum,,,47.207769,-121.0193577,EVCS,,Kittitas
73433,WCEH Snoqualmie,Snoqualmie Pass,,,47.4231982,-121.4126014,EVCS,,Kittitas
74301,Bedrooms & More,Seattle,"9am-6pm M-F, 9am-6pm Sat, 10am-6pm Sun; customer use only",SHOPPING_CENTER,47.66159,-122.324877,Non-Networked,P,King
75391,SAFECO PLAZA SAFECO PLAZA #1,Seattle,24 hours daily,,47.606106,-122.333782,ChargePoint Network,,King
75997,Lee Johnson Nissan of Kirkland,Kirkland,Dealership business hours,CAR_DEALER,47.707294,-122.174855,Non-Networked,P,King
76839,MI SCHOOLS NORTHWOOD #1,Mercer Island,24 hours daily,,47.573641,-122.223648,ChargePoint Network,,King
76857,TRANS SERVICES TERRELL,Pullman,24 hours daily,,46.732394,-117.164374,ChargePoint Network,,Whitman
76858,TRANS SERVICES SCUE,Pullman,24 hours daily,,46.729675,-117.161393,ChargePoint Network,,Whitman
76993,WASHINGTON ST LACONNER #1,La Conner,24 hours daily,,48.391109,-122.496837,ChargePoint Network,,Skagit
77771,TwispWorks,Twisp,24 hours daily,OFFICE_BLDG,48.362102,-120.121376,Non-Networked,P,Okanogan
77990,Wellspring Spa at Mount Rainier,Ashford,24 hours daily; for guest use only; Drivers must bring their own J1772 cordset for Level 1 charging,HOTEL,46.759919,-121.981984,Non-Networked,P,Pierce
78570,PUBLIC CHARGING ANGLE LAKE #2,SeaTac,24 hours daily,,47.423319,-122.298723,ChargePoint Network,,King
78571,PUBLIC CHARGING ANGLE LAKE #4,SeaTac,24 hours daily,,47.42327,-122.298719,ChargePoint Network,,King
78783,Town of Concrete - Park and Ride,Concrete,24 hours daily,PARKING_LOT,48.537035,-121.758653,Non-Networked,LG,Skagit
79670,DUAL EV SOUTH 1,Seattle,24 hours daily,,47.661471,-122.299298,ChargePoint Network,,King
79748,KING COUNTY DES KSC STATION #5,Seattle,24 hours daily,,47.599,-122.330804,ChargePoint Network,,King
79902,RSS-1 RSS #1,Issaquah,24 hours daily,,47.534915,-122.037552,ChargePoint Network,,King
80022,BELLINGHAM CITY COMMERCIAL ST 2,Bellingham,24 hours daily,,48.750857,-122.479518,ChargePoint Network,,Whatcom
80116,TRANS SERVICES PACCAR,Pullman,24 hours daily,,46.729734,-117.156333,ChargePoint Network,,Whitman
81023,LINC SQUARE EXP LSE P2 #2,Bellevue,24 hours daily,,47.614294,-122.201255,ChargePoint Network,,King
81024,LINC SQUARE EXP P5 1,Bellevue,24 hours daily,,47.614098,-122.200729,ChargePoint Network,,King
81083,Lincoln County Museum,Davenport,24 hours daily,MUSEUM,47.652922,-118.150361,Non-Networked,LG,Lincoln
81779,Kitsap Transit-George’s Corner Park & Ride,Kingston,,,47.812524,-122.540217,OpConnect,,Kitsap
81780,Kitsap Transit - Harper Church,Port Orchard,,,47.504444,-122.516388,OpConnect,,Kitsap
82271,SAMMAMISH SAMM VILLAGE #1,Sammamish,24 hours daily,,47.605953,-122.037391,ChargePoint Network,,King
82346,THE SUMMIT P2,Bellevue,24 hours daily,,47.613367,-122.194775,ChargePoint Network,,King
82397,City of Tonasket - City Hall,Tonasket,24 hours daily,MUNI_GOV,48.705586,-119.438406,Non-Networked,LG,Okanogan
82499,ESSEX BELLCENTERE 01,Bellevue,24 hours daily,,47.612468,-122.194308,ChargePoint Network,,King
82585,SAMMAMISH SAM VILLAGE #2,Sammamish,24 hours daily,,47.606215,-122.037426,ChargePoint Network,,King
82594,Rocky Reach Dam Visitor Center,Wenatchee,9am - 9pm,PARK,47.531819,-120.300871,Non-Networked,LG,Chelan
85540,BELLEVUE DOWNTOWN PARK 2,Bellevue,24 hours daily,,47.61309,-122.206569,ChargePoint Network,,King
85568,SKAGIT STATION SS1,Mount Vernon,24 hours daily,,48.418198,-122.334391,ChargePoint Network,,Skagit
86014,400 DEXTER AVE 400 DEXTER 1,Seattle,24 hours daily,,47.622264,-122.342164,ChargePoint Network,,King
86025,Bellevue Nissan,Bellevue,Dealership business hours,CAR_DEALER,47.58065,-122.14343,Non-Networked,P,King
86225,UWB CASCADIA CC SOUTH LEVEL 3 W,Bothell,24 hours daily,,47.757838,-122.190947,ChargePoint Network,,King
86962,E_SOFI SOFI #1,Bellevue,24 hours daily,,47.571386,-122.164808,ChargePoint Network,,King
87711,BELLEVUE SQUARE BELL SQ NORTH 1,Bellevue,24 hours daily,,47.616971,-122.203009,ChargePoint Network,,King
87937,MERCER ISLAND MI COMMUN CTR,Mercer Island,24 hours daily,,47.590057,-122.228541,ChargePoint Network,,King
353450,SIA LOT C 2,Spokane,24 hours daily,,47.621112,-117.550248,ChargePoint Network,,Spokane
88290,CAR CHARGER #1 SOMA DUAL 1,Bellevue,24 hours daily,,47.612754,-122.198497,ChargePoint Network,,King
88546,PUBLIC WORKS 1 MARITIME PIER,Gig Harbor,24 hours daily,,47.329291,-122.578979,ChargePoint Network,,Pierce
88696,DUAL EV SOUTH 2,Seattle,24 hours daily,,47.661361,-122.298284,ChargePoint Network,,King
88827,PUBLIC WORKS 1 GH FINHOLM 1,Gig Harbor,24 hours daily,,47.339342,-122.590314,ChargePoint Network,,Pierce
92108,"Kitsap Transit - North Viking Poulsbo Park N Ride, WA",Poulsbo,,,47.75946,-122.661047,OpConnect,,Kitsap
93840,San Juan Islands Conservation District,Friday Harbor,24 hours daily,OFFICE_BLDG,48.536489,-123.021351,Non-Networked,LG,San Juan
93841,Avalon Business Park,Friday Harbor,8am-5pm daily,OFFICE_BLDG,48.514655,-123.028884,Non-Networked,P,San Juan
93842,Earthbox Inn and Spa,Friday Harbor,24 hours daily; guests only,INN,48.532963,-123.019311,Non-Networked,P,San Juan
93843,Friday Harbor Grand Bed and Breakfast,Friday Harbor,24 hours daily; guest use only,INN,48.532844,-123.021001,Non-Networked,P,San Juan
93846,Odd Fellows Hall,Eastsound,24 hours daily,STREET_PARKING,48.692979,-122.904798,Non-Networked,P,San Juan
93848,Doe Bay Resort,Olga,Business Hours,HOTEL,48.641279,-122.781015,Non-Networked,P,San Juan
93849,Lopez Island Library,Lopez,24 hours daily,LIBRARY,48.521863,-122.909571,Non-Networked,P,San Juan
93850,Lopez Community Land Trust,Lopez,"8am-5pm daily; primarily for employee use, call ahead",PARKING_LOT,48.530774,-122.914874,Non-Networked,P,San Juan
95134,Thurston County Juvenile Court,Tumwater,24 hours daily,,47.023179,-122.922337,Blink Network,,Thurston
95259,Port of Poulsbo,Poulsbo,24 hours daily,,47.736632,-122.647204,Blink Network,,Kitsap
95368,Haselwood Family YMCA Silverdale,Silverdale,24 hours daily,,47.65330662706392,-122.6948141320863,Blink Network,,Kitsap
95496,Bellevue College - Garage,Bellevue,24 hours daily,,47.585655,-122.147284,Blink Network,,King
95594,Legacy Salmon Creek Hospital,Vancouver,24 hours daily,,45.7208083,-122.6467578,Blink Network,,Clark
95640,McLendon Hardware Tacoma,Tacoma,24 hours daily,,47.25914,-122.514596,Blink Network,,Pierce
95831,Sumner School District - Parking Lot,Sumner,24 hours daily,,47.203981,-122.237313,Blink Network,,Pierce
95959,Lake Washington Institute of Technology,Kirkland,24 hours daily,,47.704069,-122.167006,Blink Network,,King
96348,520 Pike Tower,Seattle,24 hours daily,,47.611102,-122.334893,Blink Network,,King
96480,Lake Union Building,Seattle,24 hours daily,,47.633992,-122.339684,Blink Network,,King
96620,Clark County - Public Service Center (1st Floor),Vancouver,24 hours daily,,45.6313841,-122.677588,Blink Network,,Clark
96877,VM CHARGERS VM BAINBRIDGE 1,Bainbridge Island,24 hours daily,,47.637692,-122.513582,ChargePoint Network,,Kitsap
96971,Multicare Health Systems,Covington,24 hours daily,,47.359935,-122.103668,Blink Network,,King
96972,Highline Community College,Des Moines,24 hours daily,,47.389529,-122.301609,Blink Network,,King
97018,BARKLEY VILLAGE REGAL CINEMA 2,Bellingham,24 hours daily,,48.7707,-122.448772,ChargePoint Network,,Whatcom
98553,Camaray Motel,Oroville,24 hours daily,HOTEL,48.938283,-119.436456,Non-Networked,P,Okanogan
98554,Smokiam Park,Soap Lake,24 hours daily,MUNI_GOV,47.39125,-119.483647,Non-Networked,LG,Grant
98555,Mountain View Lodge & Resort,Manson,24 hours daily; for guest use only,HOTEL,47.883847,-120.154608,Non-Networked,P,Chelan
98583,Seattle-Tacoma International Airport - Terminal Direct Parking,Seattle,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,AIRPORT,47.443363,-122.296428,Non-Networked,P,King
388247,Fairway Apartments,Cheney,,,47.58728706,-117.55013276,CHARGELAB,,Spokane
350466,Riverside State Park Ranger Station,Nine Mile Falls,24 hours daily,PARK,47.77628778,-117.5470278,Non-Networked,P,Spokane
99405,UWB CASCADIA CC SOUTH LEVEL 4 S,Bothell,24 hours daily,,47.757824,-122.190681,ChargePoint Network,,King
99407,LINC SQUARE EXP LSS P2 106-107,Bellevue,24 hours daily,,47.614503,-122.201196,ChargePoint Network,,King
99408,LINC SQUARE EXP LSS P2 109-110,Bellevue,24 hours daily,,47.614311,-122.201051,ChargePoint Network,,King
99409,LINC SQUARE EXP LSS P2 100-101,Bellevue,24 hours daily,,47.614752,-122.200829,ChargePoint Network,,King
99410,LINC SQUARE EXP LSS P2 92-93,Bellevue,24 hours daily,,47.614649,-122.200751,ChargePoint Network,,King
99705,QBRC QBRC 1,Ocean Shores,24 hours daily,,47.042642,-124.170682,ChargePoint Network,,Grays Harbor
99807,PORT VANCOUVER ADMIN,Vancouver,24 hours daily,,45.643429,-122.704219,ChargePoint Network,,Clark
100055,ESSEX HIGHLANDS,Issaquah,24 hours daily,,47.545075,-122.008911,ChargePoint Network,,King
100346,BLACKRIVER JSH DUAL #1,Renton,24 hours daily,,47.471546,-122.232002,ChargePoint Network,,King
100365,BLACKRIVER BLACKRIVER #3,Renton,24 hours daily,,47.474427,-122.233381,ChargePoint Network,,King
100416,MTE EDMONDS SCHOOL,Mountlake Terrace,24 hours daily,,47.798901,-122.3025,ChargePoint Network,,Snohomish
102483,"Aberdeen, WA - Tesla Supercharger",Aberdeen,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,46.976679,-123.813485,Tesla,P,Grays Harbor
102484,Angel of the Winds Casino - Tesla Supercharger,Arlington,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,OTHER_ENTERTAINMENT,48.212441,-122.183491,Tesla,P,Snohomish
102485,Fairfield Inn & Suites Burlington - Tesla Supercharger,Burlington,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,48.509743,-122.338681,Tesla,P,Skagit
102486,Centralia Outlets - Tesla Supercharger,Centralia,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,46.729872,-122.977392,Tesla,P,Lewis
102487,Holiday Inn Express - Tesla Supercharger,Ellensburg,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,46.976918,-120.54162,Tesla,P,Kittitas
102488,Fred Meyer - Tesla Supercharger,Kennewick,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,46.198035,-119.162687,Tesla,P,Benton
102489,Fred Meyer - Tesla Supercharger,Lynnwood,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,47.846714,-122.271389,Tesla,P,Snohomish
102491,Best Western Plus Bronco Inn - Tesla Supercharger,Ritzville,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,47.116294,-118.368328,Tesla,P,Adams
102492,Holiday Inn Express & Suites - Tesla Supercharger,Sequim,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,48.071064,-123.074581,Tesla,P,Clallam
102493,Fred Meyer Salmon Creek - Tesla Supercharger,Vancouver,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,45.721613,-122.663762,Tesla,P,Clark
102594,Dan's Food Market - Tesla Supercharger,Leavenworth,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,GROCERY,47.598476,-120.656055,Tesla,P,Chelan
103554,Olympic National Park - Sol Duc Hot Springs Resort,Port Angeles,24 hours daily,NATL_PARK,47.96937,-123.86338,Non-Networked,P,Clallam
103654,1101 WESTLAKE FB WESTLAKE 2,Seattle,24 hours daily,,47.6289,-122.341536,ChargePoint Network,,King
103924,Seabrook Street Parking,Copalis Crossing,24 hours daily,STREET_PARKING,47.195359,-124.196082,Non-Networked,P,Grays Harbor
103925,Gull Wing Inn,Moclips,24 hours daily,HOTEL,47.24044,-124.216904,Non-Networked,P,Grays Harbor
372451,SIA SIA/LOT C 5,Spokane,24 hours daily,,47.62536,-117.542192,ChargePoint Network,,Spokane
104265,Ilani Casino Resort,Ridgefield,24 hours daily,HOTEL,45.852337,-122.708397,Non-Networked,P,Clark
104285,DC CORRIDOR SEATTLE MINI,Seattle,24 hours daily,,47.713224,-122.298415,ChargePoint Network,,King
104381,BMGF BMGF EV 02,Seattle,24 hours daily,,47.623424,-122.345872,ChargePoint Network,,King
104408,Pacific Raceways,Kent,By appointment only; J1772 adapter available,OTHER_ENTERTAINMENT,47.320954,-122.13822,Non-Networked,P,King
104446,Fred Meyer - Tesla Supercharger,Issaquah,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,GROCERY,47.548081,-122.039955,Tesla,P,King
104475,Bedrooms & More,Seattle,"9am-8pm M-F, 9am-6pm Sat, 10am-6pm Sun; for customer use only",SHOPPING_CENTER,47.661582,-122.32426,Non-Networked,P,King
104574,ISD411 ADMIN CENTER 1,Issaquah,24 hours daily,,47.55493,-122.047455,ChargePoint Network,,King
104823,Guy Waring Guest House,Winthrop,24 hours daily; for guest use only,HOTEL,48.479357,-120.186033,Non-Networked,P,Okanogan
104981,Grand Mound Liquor Store,Rochester,24 hours daily,SHOPPING_CENTER,46.798453,-123.0123,Non-Networked,P,Thurston
105066,KING COUNTY DES FACTORIA TRANSF,Bellevue,24 hours daily,,47.582336,-122.158644,ChargePoint Network,,King
105118,ALJOYA 1 EV CHARGER,Mercer Island,24 hours daily,,47.588122,-122.237206,ChargePoint Network,,King
105361,Harvest Chevrolet,Yakima,24 hours daily,CAR_DEALER,46.604239,-120.481583,Non-Networked,P,Yakima
105362,Cascade Chevrolet,Wenatchee,Dealership business hours; for Chevrolet use only,CAR_DEALER,47.467463,-120.336918,Non-Networked,P,Chelan
116073,Angel of the Winds Casino - Tesla Destination,Arlington,,OTHER_ENTERTAINMENT,48.214249,-122.184142,Tesla Destination,P,Snohomish
116074,Alexander's Lodge & Restaurant - Tesla Destination,Ashford,,HOTEL,46.751382,-121.937189,Tesla Destination,P,Pierce
116075,Courtyard by Marriott Seattle Bellevue/Downtown - Tesla Destination,Bellevue,,HOTEL,47.617601,-122.193492,Tesla Destination,P,King
116076,Marriott Bellevue - Tesla Destination,Bellevue,,HOTEL,47.611844,-122.193618,Tesla Destination,P,King
116077,Marriott AC Bellevue - Tesla Destination,Bellevue,,HOTEL,47.612345,-122.197702,Tesla Destination,P,King
116078,Hilton Bellevue - Tesla Destination,Bellevue,,HOTEL,47.607592,-122.189582,Tesla Destination,P,King
116079,Hotel Bellwether - Tesla Destination,Bellingham,,HOTEL,48.754197,-122.496675,Tesla Destination,P,Whatcom
116080,Best Western Plus Heritage Inn - Tesla Destination,Bellingham,,HOTEL,48.783141,-122.484001,Tesla Destination,P,Whatcom
116081,Oxford Suites Bellingham - Tesla Destination,Bellingham,,HOTEL,48.788325,-122.48746,Tesla Destination,P,Whatcom
116082,Hamilton Cellars - Tesla Destination,Benton City,,BREWERY_DISTILLERY_WINERY,46.296071,-119.451487,Tesla Destination,P,Benton
